Name,Location,Start,End,Prize in EUR,Website,Classification
Batumi Municipality Cup,"Batumi, Georgia","July 4, 2024","July 14, 2024",18000,http://chessbatumi.ge/,Major
Grand Chess Tour: SuperUnited Croatia Rapid & Blitz 2024,Croatia,"July 8, 2024","July 16, 2024",Undefined,,Minor
Open NK Rapid,"Helmond (east of Eindhoven), Netherlands","July 15, 2024","July 15, 2024",4615,http://nkschaken-rapid.nl/,Major
Gießener Open,Gießen (near Frankfurt),"July 19, 2024","July 21, 2024",3000,http://sk1858-giessen.de/,Major
Turnier auf der Schallaburg 2024,Austria,"July 20, 2024","July 20, 2024",Undefined,,Minor
Offene Hessische Blitz- und Schnellmeisterschaft,Bensheim-Auerbach (between Frankfurt and Mannheim),"July 31, 2024","September 1, 2024",3000,http://sg31bensheim.de/,Major
Krefelder Sommer-Open,Krefeld (near Düsseldorf and Duisburg),"July 31, 2024","April 8, 2024",2650,http://sommer-open.de/,Major
Open von Wasselonne,"Wasselonne, France","August 1, 2024","August 4, 2024",1500,http://cemossig.fr.nf/,Major
International Chess Open Acqui Terme,"Acqui Terme AL, Italy","August 6, 2024","August 16, 2024",8450,http://scaccomattissimo.com/,Major
Augsburger Friedensfest Schach-Open,Augsburg (near Munich),"August 8, 2024","August 11, 2024",3270,http://skk.de/,Major
Lichtenberger Sommer,Berlin,"August 10, 2024","August 18, 2024",5150,http://friesen-lichtenberg.de/,Major
Lichtenberger Sommer,Berlin,"August 10, 2024","August 18, 2024",5150,http://friesen-lichtenberg.de/,Major
Sparkassen Chess Trophy 2024,Dortmund,"August 10, 2024","August 18, 2024",Undefined,,Minor
Grand Chess Tour: Saint Louis Rapid & Blitz 2024,USA,"August 10, 2024","August 18, 2024",Undefined,,Minor
Bayer-Sommeropen,Leverkusen,"August 16, 2024","August 18, 2024",2400,http://schachclub-bayer-leverkusen.de/,Major
Bayer-Sommeropen,Leverkusen,"August 16, 2024","August 18, 2024",2400,http://schachclub-bayer-leverkusen.de/,Major
Hamburger Sommer-Open,Hamburg,"August 17, 2024","August 21, 2024",4600,http://hsk1830.de/,Major
Grand Chess Tour: Sinquefield Cup 2024,USA,"August 17, 2024","September 1, 2024",Undefined,,Minor
Wiesbadener Schlosspark-Open,Wiesbaden,"August 22, 2024","August 25, 2024",5000,http://schlosspark-open.de/,Major
Volme-Open,"Schalksmühle (near Dortmund, Wuppertal)","August 23, 2024","August 25, 2024",3000,http://volme-open.de/,Major
European Amateur Chess Championship,"Mali Losinj, Croatia","August 24, 2024","September 1, 2024",4000,http://europechess.org/,Major
TIROL Open,"Innsbruck, Austria","August 24, 2024","August 31, 2024",4600,http://tirol.chess.at/,Major
Offene Berliner Frauen-Einzelmeisterschaft,Berlin,"September 5, 2024","December 5, 2024",1500,http://berlinerschachverband.de/,Major
Pluscity Grand Prix,"Linz, Austria","September 5, 2024","December 5, 2024",60000,http://grandprix-chess.com/,Major
Stepan Avagyan Memorial,"Jermuk, Armenia","September 10, 2024","September 10, 2024",18400,http://fide.com/,Major
45th Chess Olympiad 2024,Hungary,"September 10, 2024","September 23, 2024",Undefined,,Major
45th FIDE Chess Olympiad 2024,Hungary,"September 10, 2024","September 24, 2024",Undefined,,Major
45th FIDE Women's Chess Olympiad 2024,Hungary,"September 10, 2024","September 24, 2024",Undefined,,Major
"Jubiläums-Rapidturnier (50 Jahre Österreichischer Seniorenbund, Landesgruppe Salzburg)",Austria,"September 20, 2024","September 20, 2024",2010,,Minor
12th Falkensteiner Herbst Open 2024,Austria,"September 20, 2024","September 28, 2024",Undefined,,Minor
12th Chania Chess Tournament,Greece,"September 23, 2024","October 1, 2024",6000,http://chaniachess.com/,Major
2. Int. Schachwoche Sandanski,Bulgaria,"September 26, 2024","September 29, 2024",3000,http://deutscher-schachbund.de/,Major
Schilcherlandopen,"Stainz (Austria, near Graz)","October 2, 2024","October 6, 2024",5100,http://schilcherlandopen.com/,Major
31. Rochefort Open,France,"October 19, 2024","October 25, 2024",2500,http://rochefortopen.com/,Major
6th International Chess Tournament “Isthmia 2024”,Greece,"October 22, 2024","October 29, 2024",12000,http://isthmia.com/,Major
FIDE World Senior Chess Championship 2024,Georgia,"October 25, 2024","November 5, 2024",20000,http://fide.com/,Major
FIDE World Senior Team Chess Championship,Poland,"November 3, 2024","November 11, 2024",Undefined,,Major
GCT: 2024 Grand Chess Tour Finals,TBD,"November 6, 2024","November 14, 2024",Undefined,,Major
Gold Coast International Chess Festival,Australia,"November 20, 2024","November 30, 2024",25000,http://chessaustralia.com.au/,Major
PRO Chess League 2024,USA,"December 10, 2024","December 11, 2024",Undefined,,
